"","version","package"
"readr","1.1.1","readr"
"data.table","1.10.4-3","data.table"
"tidyr","0.8.0","tidyr"
"dplyr","0.7.4.9004","dplyr"
"ggplot2","2.2.1","ggplot2"
"ggExtra","0.8","ggExtra"
"ggthemes","3.4.2","ggthemes"
"viridis","0.5.1","viridis"
"png","0.1-7","png"
"mapdata","2.3.0","mapdata"
"maps","3.3.0","maps"
"gridExtra","2.3","gridExtra"
"broom","0.4.4","broom"
"MCMCglmm","2.25","MCMCglmm"
"stargazer","5.2.1","stargazer"
"diptest","0.75-7","diptest"
"plotrix","3.7","plotrix"
"scales","0.5.0","scales"
"rredlist","0.4.0","rredlist"
"stringr","1.3.0","stringr"
"corrplot","0.84","corrplot"
"ggtree","1.10.5","ggtree"
"ape","5.1","ape"
"CoordinateCleaner","1.0-7","CoordinateCleaner"
"geosphere","1.5-7","geosphere"
"speciesgeocodeR","1.0-4","speciesgeocodeR"
"scrubr",NA,"scrubr"
