"","species","range"
"1","Accipiter gentilis",27247333.3047937
"2","Accipiter nisus",6172058.62602305
"3","Acrocephalus schoenobaenus",4013284.63223231
"4","Acrocephalus scirpaceus",1896556.58952319
"5","Aegithalos caudatus",3752522.99135552
"6","Agonus cataphractus",452.089535244865
"7","Alauda arvensis",7588908.00171229
"8","Alca torda",3012091.68654645
"9","Alectoris rufa",2781918.19291242
"10","Alle alle",6458378.1413781
"11","Anas acuta",27755719.9518924
"12","Anas crecca",20099414.5108284
"13","Anas platyrhynchos",27087503.9808408
"14","Anguilla anguilla",1906459.18997665
"15","Anser albifrons",14321587.7247059
"16","Anser brachyrhynchus",2085975.4021002
"17","Anser fabalis",343508.212998454
"18","Anthus pratensis",4381951.78501683
"19","Apodemus sylvaticus",2220224.90976374
"20","Ardea cinerea",13609699.0009809
"21","Arenaria interpres",10133655.3380704
"22","Asio flammeus",22473593.9567338
"23","Aythya ferina",1208824.69863548
"24","Aythya fuligula",6205704.27197192
"25","Aythya marila",20357732.2523626
"26","Botaurus stellaris",577714.734680143
"27","Branta bernicla",9945771.17199344
"28","Branta canadensis",20647954.126143
"29","Branta leucopsis",433634.681712415
"30","Bucephala clangula",22947414.7737187
"31","Bufo bufo",2176975.32337227
"32","Burhinus oedicnemus",1043808.02575802
"33","Buteo buteo",5476938.22112885
"34","Calidris alba",10438121.7507225
"35","Calidris alpina",11098368.9471656
"36","Calidris canutus",4550596.16151028
"37","Calidris maritima",2051141.88219399
"38","Capreolus capreolus",1230189.37201054
"39","Carduelis carduelis",13778521.7186318
"40","Cepphus grylle",2446576.01333717
"41","Certhia familiaris",1904618.77050579
"42","Cervus elaphus",1529183.66534253
"43","Cettia cetti",3906130.9982027
"44","Charadrius hiaticula",645762.76265688
"45","Circus aeruginosus",6550125.62359121
"46","Circus cyaneus",19125541.8364535
"47","Clangula hyemalis",8300530.59576464
"48","Clupea harengus",1032.97869965479
"49","Coloeus monedula",9699107.18870018
"50","Columba oenas",2786879.2929276
"51","Columba palumbus",4825226.98240476
"52","Corvus corax",27306767.6470738
"53","Corvus corone",2607672.24765255
"54","Corvus frugilegus",1962313.56095906
"55","Crex crex",1586112.52620544
"56","Cuculus canorus",3244179.80313678
"57","Cyanistes caeruleus",2239603.45648442
"58","Cyclopterus lumpus",1203.5675734836
"59","Cygnus columbianus",15155507.6294188
"60","Cygnus cygnus",1043657.41787166
"61","Cygnus olor",14384898.324084
"62","Delphinus delphis",714813.531592188
"63","Dendrocopos major",4790347.84418336
"64","Egretta garzetta",12631213.9140801
"65","Emberiza calandra",1001298.57460988
"66","Emberiza cirlus",3390240.2910739
"67","Emberiza citrinella",2349508.96615474
"68","Emberiza schoeniclus",2375223.12514406
"69","Epidalea calamita",923.128735843674
"70","Eptesicus serotinus",367823.235480321
"71","Esox lucius",2384687.45533576
"72","Falco columbarius",26938924.308111
"73","Falco peregrinus",33419251.4511018
"74","Falco subbuteo",3174284.43738931
"75","Falco tinnunculus",6291875.53732786
"76","Fringilla coelebs",5824292.74867957
"77","Fulica atra",3610876.61265481
"78","Fulmarus glacialis",3162515.18935492
"79","Gadus morhua",2321473.46966995
"80","Gallinula chloropus",14888394.6782733
"81","Garrulus glandarius",3479500.6039965
"82","Haematopus ostralegus",814391.925776835
"83","Haliaeetus albicilla",628535.949472167
"84","Halichoerus grypus",75151.9339271953
"85","Ichthyaetus melanocephalus",263434.052151292
"86","Larus argentatus",22715582.1198589
"87","Larus canus",1759195.6415213
"88","Larus fuscus",21507048.2243542
"89","Lepus timidus",108274.780034162
"90","Limosa lapponica",1533600.92547824
"91","Limosa limosa",450271.0100394
"92","Linaria cannabina",1915401.69407479
"93","Lissotriton vulgaris",679545.778030317
"94","Lullula arborea",1920467.08044532
"95","Melanogrammus aeglefinus",65.6054277859192
"96","Meles meles",1400106.0532592
"97","Mergus merganser",19503168.2741169
"98","Mergus serrator",13149260.8353512
"99","Merlangius merlangus",504.511840252792
"100","Milvus milvus",2382789.74481193
"101","Molva molva",0
"102","Morus bassanus",11719061.5595196
"103","Motacilla alba",5043917.07438207
"104","Muscicapa striata",4590320.38553785
"105","Myodes glareolus",1060659.4357733
"106","Myotis daubentonii",569702.725447605
"107","Myotis nattereri",646629.469568769
"108","Natrix natrix",1299768.61935864
"109","Netta rufina",746472.042780584
"110","Numenius arquata",2688049.20155445
"111","Nyctalus noctula",726445.147097025
"112","Oenanthe oenanthe",12403674.2679433
"113","Oriolus oriolus",3667745.29916721
"114","Oryctolagus cuniculus",7440960.54893196
"115","Oxyura jamaicensis",19046145.930677
"116","Pandion haliaetus",26272551.2451014
"117","Parus major",4497275.64235433
"118","Passer domesticus",33098388.9061919
"119","Passer montanus",10838505.5937898
"120","Perca fluviatilis",1376803.60659377
"121","Perdix perdix",9917356.15784593
"122","Periparus ater",1656947.5676677
"123","Phalacrocorax aristotelis",2862218.07035163
"124","Phalacrocorax carbo",13132158.6274707
"125","Phasianus colchicus",10351321.7864808
"126","Phoca vitulina",197541.4312539
"127","Phocoena phocoena",153316.497260316
"128","Phylloscopus collybita",5031164.55650259
"129","Phylloscopus trochilus",4063324.15731183
"130","Pica pica",3791227.08355823
"131","Picus viridis",3363660.41124489
"132","Pipistrellus pipistrellus",2046629.1944816
"133","Pipistrellus pygmaeus",449700.77655361
"134","Platichthys flesus",35509.9290261006
"135","Plecotus auritus",2126970.01408171
"136","Plectrophenax nivalis",12478931.8890215
"137","Pleuronectes platessa",48638.2990477141
"138","Pluvialis apricaria",437494.656478148
"139","Pluvialis squatarola",16670756.8444416
"140","Podarcis muralis",994821.390841583
"141","Podiceps cristatus",2353817.91014569
"142","Poecile montanus",623768.75798476
"143","Poecile palustris",654609.436187148
"144","Pollachius virens",218.055315673279
"145","Prunella modularis",2511938.8991356
"146","Pyrrhula pyrrhula",2395909.39854143
"147","Rallus aquaticus",1820163.25995437
"148","Rhinolophus hipposideros",465356.771497364
"149","Rissa tridactyla",7119167.93307532
"150","Salmo salar",1041624.68791663
"151","Salmo trutta",1569755.40653081
"152","Scolopax rusticola",2202543.72323647
"153","Scomber scombrus",354.133014314423
"154","Scophthalmus rhombus",584.697605973969
"155","Sitta europaea",2997496.07966395
"156","Solea solea",34853.0055991943
"157","Stercorarius parasiticus",12726837.896407
"158","Sterna dougallii",3171442.99092174
"159","Sterna hirundo",28726508.8523374
"160","Sterna paradisaea",6063673.48739986
"161","Sternula albifrons",1190284.89241711
"162","Streptopelia turtur",5774233.76724237
"163","Strix aluco",2739085.80695796
"164","Sturnus vulgaris",27286801.5091547
"165","Sus scrofa",10169243.5684343
"166","Sylvia atricapilla",6860450.46206949
"167","Sylvia borin",4044907.03829323
"168","Sylvia communis",3993452.99213709
"169","Syngnathus rostellatus",398.713736393129
"170","Tachybaptus ruficollis",3380124.52690196
"171","Tadorna tadorna",1820734.02185031
"172","Thalasseus sandvicensis",13592106.9316103
"173","Tringa nebularia",4080336.23024408
"174","Tringa totanus",1572395.4222289
"175","Triturus cristatus",398492.22010359
"176","Troglodytes troglodytes",6711407.74181951
"177","Turdus merula",7183362.26520718
"178","Turdus philomelos",4516395.06780386
"179","Turdus viscivorus",2801634.42000033
"180","Uria aalge",2608265.14122056
"181","Vanellus vanellus",7556786.59336072
"182","Zootoca vivipara",1218564.88357884
