"","species"
"1","Natator depressus"
"2","Eretmochelys imbricata"
"3","Pseudemydura umbrina"
"4","Dermochelys coriacea"
"5","Caretta caretta"
"6","Lepidochelys olivacea"
"7","Chelonia mydas"
"8","Lepidochelys kempii"
"9","Alligator mississippiensis"
"10","Anolis limifrons"
"11","Anolis apletophallus"
"12","Crocodylus porosus"
"13","Glyptemys insculpta"
"14","Vipera berus"
"15","Lampropeltis getula"
"16","Chelydra serpentina"
"17","Terrapene ornata"
"18","Crocodylus acutus"
"19","Malpolon monspessulanus"
"20","Crocodylus novaeguineae"
"21","Amblyrhynchus cristatus"
"22","Pantherophis obsoletus"
"23","Alligator sinensis"
"24","Testudo hermanni"
"25","Testudo graeca"
"26","Farancia abacura"
"27","Farancia erytrogramma"
"28","Nerodia fasciata"
"29","Nerodia floridana"
"30","Seminatrix pygaea"
"31","Graptemys geographica"
"32","Natrix tessellata"
"33","Malaclemys terrapin"
"34","Emydoidea blandingii"
"35","Vipera ursinii"
"36","Oligosoma whitakeri"
"37","Batagur baska"
"38","Lacerta agilis"
"39","Crocodylus niloticus"
"40","Uta stansburiana"
"41","Vipera aspis"
"42","Gambelia sila"
"43","Storeria dekayi"
"44","Plestiodon fasciatus"
"45","Gopherus agassizii"
"46","Terrapene carolina"
"47","Ctenotus schomburgkii"
"48","Ctenotus leonhardii"
"49","Ctenotus regius"
"50","Lucasium stenodactylum"
"51","Rhynchoedura ornata"
"52","Diplodactylus conspicillatus"
"53","Oligosoma alani"
"54","Oligosoma suteri"
"55","Chrysemys picta"
"56","Zamenis longissimus"
"57","Bitis gabonica"
"58","Bitis nasicornis"
"59","Python regius"
"60","Dendroaspis jamesoni"
"61","Sauromalus ater"
"62","Hierophis viridiflavus"
"63","Natrix natrix"
"64","Iguana delicatissima"
"65","Alsophis antiguae"
"66","Coronella austriaca"
"67","Crotalus pricei"
"68","Notechis scutatus"
"69","Acanthophis praelongus"
"70","Pseudechis australis"
"71","Pseudonaja nuchalis"
"72","Cryptophis pallidiceps"
"73","Stegonotus cucullatus"
"74","Tropidonophis mairii"
"75","Antaresia childreni"
"76","Liasis fuscus"
"77","Clemmys guttata"
"78","Furina ornata"
"79","Boiga irregularis"
"80","Podarcis filfolensis"
"81","Drymarchon couperi"
"82","Tantilla nigriceps"
"83","Morelia spilota"
"84","Pseudemys peninsularis"
"85","Pseudemys nelsoni"
"86","Sternotherus minor"
"87","Sternotherus odoratus"
"88","Heterodon nasicus"
"89","Rena dissectus"
"90","Coluber constrictor"
"91","Pituophis catenifer"
"92","Thamnophis sirtalis"
"93","Crotalus viridis"
"94","Crotalus atrox"
"95","Coluber flagellum"
"96","Thamnophis marcianus"
"97","Arizona elegans"
"98","Thamnophis elegans"
"99","Uma inornata"
"100","Phrynosoma mcallii"
"101","Crotalus cerastes"
"102","Lacerta bilineata"
"103","Podarcis muralis"
"104","Zootoca vivipara"
"105","Dipsosaurus dorsalis"
"106","Callisaurus draconoides"
"107","Chionactis occipitalis"
"108","Emydocephalus annulatus"
"109","Lialis burtonis"
"110","Chlamydosaurus kingii"
